Rk,Player,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,OBP,SLG,OPS,Player-additional
29,Maikel Garcia,25,KCR,160,666,595,81,170,39,5,16,74,0.351,0.449,0.8,garcima01
30,Mookie Betts,32,LAD,150,663,589,95,152,23,2,20,82,0.326,0.406,0.732,bettsmo01
31,Ian Happ#,30,CHC,150,663,569,87,138,32,0,23,79,0.342,0.42,0.762,happia01
32,Taylor Ward,31,LAA,157,663,579,86,132,31,2,36,103,0.317,0.475,0.792,wardta01
33,William Contreras,27,MIL,150,659,566,89,147,28,0,17,76,0.355,0.399,0.754,contrwi02
34,Brice Turang*,25,MIL,156,659,584,97,168,28,2,18,81,0.359,0.435,0.794,turanbr02
35,Eugenio Suárez,33,2TM,159,657,588,91,134,28,0,49,118,0.298,0.526,0.824,suareeu01
35,Eugenio Suárez,33,ARI,106,437,387,64,96,19,0,36,87,0.32,0.576,0.897,suareeu01
35,Eugenio Suárez,33,SEA,53,220,201,27,38,9,0,13,31,0.255,0.428,0.682,suareeu01
36,Cody Bellinger*,29,NYY,152,656,588,89,160,25,5,29,98,0.334,0.48,0.813,bellico01
37,Riley Greene*,24,DET,157,655,600,84,155,31,1,36,111,0.313,0.493,0.806,greenri03
38,Jose Altuve,35,HOU,155,654,588,80,156,24,1,26,77,0.329,0.442,0.771,altuvjo01
39,J.P. Crawford*,30,SEA,157,654,570,69,151,24,0,12,58,0.352,0.37,0.722,crawfjp01
40,Bryan Reynolds#,30,PIT,154,654,587,68,144,38,3,16,73,0.318,0.402,0.72,reynobr01
41,Trevor Story,32,BOS,157,654,612,91,161,29,0,25,96,0.308,0.433,0.741,storytr01
42,Junior Caminero,21,TBR,154,653,602,93,159,28,0,45,110,0.311,0.535,0.846,caminju01
43,Brandon Nimmo*,32,NYM,155,652,587,81,154,27,0,25,92,0.324,0.436,0.76,nimmobr01
44,Yandy Díaz,33,TBR,150,651,583,79,175,29,1,25,83,0.366,0.482,0.848,diazya01
45,Gunnar Henderson*,24,BAL,154,651,577,85,158,34,5,17,68,0.349,0.438,0.787,hendegu01
46,Seiya Suzuki,30,CHC,151,651,571,75,140,31,3,32,103,0.326,0.478,0.804,suzukse01
47,Nico Hoerner,28,CHC,156,649,599,89,178,29,4,7,61,0.345,0.394,0.739,hoernni01
48,Jackson Holliday*,21,BAL,149,649,586,70,142,21,3,17,55,0.314,0.375,0.69,hollija01
49,Spencer Torkelson,25,DET,155,649,563,82,135,27,1,31,78,0.333,0.456,0.789,torkesp01
50,Pete Crow-Armstrong*,23,CHC,157,647,591,91,146,37,4,31,95,0.287,0.481,0.768,crowape01
51,Dansby Swanson,31,CHC,159,645,590,84,144,24,3,24,77,0.3,0.417,0.717,swansda01
